grid_id,area_name
DEL_00001,Darya Pur
DEL_00002,Darya Pur
DEL_00003,Darya Pur
DEL_00004,Darya Pur
DEL_00005,Darya Pur
DEL_00006,Darya Pur
DEL_00007,Gubhana
DEL_00008,Gubhana
DEL_00009,Gubhana
DEL_00010,Darya Pur
DEL_00011,Darya Pur
DEL_00012,Darya Pur
DEL_00013,Darya Pur
DEL_00014,Darya Pur
DEL_00015,Darya Pur
DEL_00016,Gubhana
DEL_00017,Gubhana
DEL_00018,Gubhana
DEL_00019,Lohat
DEL_00020,Lagar Pur
DEL_00021,Darya Pur
DEL_00022,Darya Pur
DEL_00023,Darya Pur
DEL_00024,Issapur
DEL_00025,Issapur
DEL_00026,Issapur
DEL_00027,Gubhana
DEL_00028,Gubhana
DEL_00029,Lohat
DEL_00030,Lohat
DEL_00031,Dhansa
DEL_00032,Dhansa
DEL_00033,Issapur
DEL_00034,Issapur
DEL_00035,Issapur
DEL_00036,Issapur
DEL_00037,Gubhana
DEL_00038,Gubhana
DEL_00039,Lohat
DEL_00040,Lohat
DEL_00041,Dhansa
DEL_00042,Dhansa
DEL_00043,Dhansa
DEL_00044,Issapur
DEL_00045,Issapur
DEL_00046,Issapur
DEL_00047,Issapur
DEL_00048,Issapur
DEL_00049,Gubhana
DEL_00050,Gubhana
DEL_00051,Gubhana
DEL_00052,Lohat
DEL_00053,Lohat
DEL_00054,Lohat
DEL_00055,Dhansa
DEL_00056,Dhansa
DEL_00057,Dhansa
DEL_00058,Dhansa
DEL_00059,Issapur
DEL_00060,Issapur
DEL_00061,Issapur
DEL_00062,Issapur
DEL_00063,Issapur
DEL_00064,Issapur
DEL_00065,Gubhana
DEL_00066,Gubhana
DEL_00067,Luksar
DEL_00068,Luksar
DEL_00069,Lohat
DEL_00070,Lohat
DEL_00071,Lohat
DEL_00072,Dhansa
DEL_00073,Dhansa
DEL_00074,Dhansa
DEL_00075,Dhansa
DEL_00076,Issapur
DEL_00077,Issapur
DEL_00078,Issapur
DEL_00079,Issapur
DEL_00080,Issapur
DEL_00081,Issapur
DEL_00082,Issapur
DEL_00083,Luksar
DEL_00084,Luksar
DEL_00085,Luksar
DEL_00086,Luksar
DEL_00087,Luksar
DEL_00088,Luksar
DEL_00089,Ghalibpur
DEL_00090,Ghalibpur
DEL_00091,Lohat
DEL_00092,Dhansa
DEL_00093,Dhansa
DEL_00094,Dhansa
DEL_00095,Dhansa
DEL_00096,Dhansa
DEL_00097,Issapur
DEL_00098,Issapur
DEL_00099,Issapur
DEL_00100,Issapur
