grid_id,latitude,longitude,urban_usability_score,usability_class
1,28.557527023007218,76.83754016386048,45.86,Low Usability
2,28.56057498565982,76.83728537459311,40.01,Low Usability
3,28.56471979580073,76.83693888377059,39.8,Low Usability
4,28.569148486074955,76.83656864185615,36.24,Low Usability
5,28.573625986214395,76.83619429848319,41.94,Low Usability
6,28.578120619285933,76.83581850153257,40.62,Low Usability
7,28.582547454521258,76.83557367038772,38.87,Low Usability
8,28.586970516979306,76.83602515216408,43.6,Low Usability
9,28.590270012002218,76.83641357439319,37.89,Low Usability
10,28.556603883360573,76.84065400717036,35.51,Low Usability
11,28.559932249485563,76.8401745974961,38.43,Low Usability
12,28.564443189652607,76.84025308483398,46.83,Low Usability
13,28.56895412662201,76.84033159021791,40.14,Low Usability
14,28.573465060393417,76.84041011365113,42.68,Low Usability
15,28.57797599096651,76.84048865513694,41.88,Low Usability
16,28.582486918340894,76.8405672146786,45.28,Low Usability
17,28.58699784251624,76.84064579227935,41.34,Low Usability
18,28.59008705405317,76.84060529784965,38.91,Low Usability
19,28.552761416351796,76.84704844434061,36.28,Low Usability
20,28.555541102419717,76.84537230066005,36.76,Low Usability
21,28.55986286615621,76.84528391398791,41.19,Low Usability
22,28.564373793375058,76.84536261894789,42.47,Low Usability
23,28.568884717395196,76.84544134200391,38.73,Low Usability
24,28.573395638216276,76.84552008315922,41.87,Low Usability
25,28.577906555837952,76.84559884241713,47.5,Low Usability
26,28.58241747025984,76.84567761978091,46.24,Low Usability
27,28.58692838148161,76.84575641525383,36.87,Low Usability
28,28.589835358000656,76.84568606869016,36.05,Low Usability
29,28.551852634366938,76.85073204640355,37.61,Low Usability
30,28.555282373234594,76.85031430795095,38.8,Low Usability
31,28.55979329066884,76.85039321238698,41.44,Low Usability
32,28.564304204903653,76.85047213496574,38.78,Low Usability
33,28.56881511593869,76.85055107569055,37.27,Low Usability
34,28.57332602377359,76.85063003456472,36.09,Low Usability
35,28.57783692840799,76.85070901159145,42.75,Low Usability
36,28.582347829841538,76.85078800677408,45.34,Low Usability
37,28.58685872807387,76.85086702011588,40.05,Low Usability
38,28.589975707116647,76.85140813127883,36.83,Low Usability
39,28.54745908299347,76.85721121411737,36.07,Low Usability
40,28.550836388081912,76.8554707090145,37.12,Low Usability
41,28.555212618610515,76.85542337064169,42.27,Low Usability
42,28.559723523025973,76.85550249264327,43.41,Low Usability
43,28.564234424240926,76.85558163283757,39.77,Low Usability
44,28.568745322254994,76.85566079122792,36.76,Low Usability
45,28.573256217067854,76.8557399678176,38.65,Low Usability
46,28.577767108679133,76.85581916260989,42.64,Low Usability
47,28.582277997088468,76.85589837560808,38.22,Low Usability
48,28.586788882295522,76.85597760681549,39.84,Low Usability
